protein,drug
hsa:150,DB00633
hsa:150,DB00370
hsa:150,D00604
hsa:150,D00606
hsa:150,DBSALT000889
hsa:150,DBSALT000329
hsa:150,DB00800
hsa:150,DBSALT001484
hsa:150,DBSALT000821
hsa:150,DB00217
hsa:150,DB00751
hsa:150,DBSALT000195
hsa:150,D02149
hsa:150,DB01170
hsa:150,DB00449
hsa:150,DB00661
hsa:150,D03274
hsa:150,D04034
hsa:150,DB00629
hsa:151,DB00502
hsa:151,DB01136
hsa:151,DB00477
hsa:151,DB00575
hsa:151,DB00363
hsa:151,DB01115
hsa:151,DB00334
hsa:151,D00509
hsa:151,DB00960
hsa:151,DB00370
hsa:151,D00604
hsa:151,D00606
hsa:151,DBSALT000889
hsa:151,DBSALT000329
hsa:151,DB00800
hsa:151,DBSALT001484
hsa:151,DBSALT000821
hsa:151,DB00217
hsa:151,DB00751
hsa:151,DBSALT000195
hsa:151,D02149
hsa:151,DB01170
hsa:151,DB00661
hsa:151,D03274
hsa:151,D04034
hsa:152,DB00575
hsa:152,D00509
hsa:152,D00604
hsa:152,D00606
hsa:152,DBSALT000889
hsa:152,DBSALT000329
hsa:152,DB00800
hsa:152,DBSALT001484
hsa:152,DBSALT000821
hsa:152,DB00217
hsa:152,DBSALT000195
hsa:152,D02149
hsa:152,DB01170
hsa:152,D03274
hsa:152,D04034
hsa:153,DB00668
hsa:153,DB00335
hsa:153,DB01136
hsa:153,DB01203
hsa:153,DB01115
hsa:153,DB00334
hsa:153,DBSALT000549
hsa:153,DB00960
hsa:153,DBSALT000328
hsa:153,D00601
hsa:153,D00632
hsa:153,D00635
hsa:153,DB01158
hsa:153,DBSALT001484
hsa:153,D01390
hsa:153,D01454
hsa:153,D02066
hsa:153,D02149
hsa:153,D02150
hsa:153,DB01193
hsa:153,DB00612
hsa:153,DB00264
hsa:153,DB01214
hsa:153,D02614
hsa:153,DB01118
hsa:153,D03415
hsa:153,D03490
hsa:153,DB00841
hsa:153,D03880
hsa:153,D03881
hsa:153,DB00221
hsa:154,DB00668
hsa:154,DB00335
hsa:154,DB01136
hsa:154,DB01203
hsa:154,DB01115
hsa:154,DB00334
hsa:154,DBSALT000549
hsa:154,DB00960
hsa:154,DBSALT000328
hsa:154,D00601
hsa:154,D00632
hsa:154,D00635
hsa:154,DB01158
hsa:154,D00683
hsa:154,DBSALT002788
hsa:154,D00687
hsa:154,D00688
hsa:154,DBSALT001484
hsa:154,D01386
hsa:154,D01390
hsa:154,D01454
hsa:154,D02066
hsa:154,DB01001
hsa:154,D02149
hsa:154,D02150
hsa:154,DB01193
hsa:154,DB00612
hsa:154,DB00867
hsa:154,DB01214
hsa:154,D03415
hsa:154,D03490
hsa:154,DB00841
hsa:154,D03880
hsa:154,D03881
hsa:154,DB00938
hsa:155,DB01136
hsa:155,DB01203
hsa:155,DB01115
hsa:155,DB00334
hsa:155,DBSALT000549
hsa:155,DB00960
hsa:155,DBSALT001484
hsa:155,D01390
hsa:155,D01454
hsa:155,D02066
hsa:155,D02149
hsa:155,D02150
hsa:155,DB01193
hsa:155,DB01214
hsa:155,D03415
hsa:155,DB00841
hsa:1812,DB01235
hsa:1812,DB00907
hsa:1812,DB00477
hsa:1812,DB00363
hsa:1812,DB00334
hsa:1812,DB00433
hsa:1812,DB00850
hsa:1812,DB01100
hsa:1812,DB00800
hsa:1812,DB01239
hsa:1812,DB00568
hsa:1812,DB00372
hsa:1812,DB00777
hsa:1812,DB00933
hsa:1813,DB01235
hsa:1813,DB00502
hsa:1813,DB00477
hsa:1813,DB00363
hsa:1813,DB00334
hsa:1813,DB00433
hsa:1813,DB01069
hsa:1813,DB00850
hsa:1813,DB01100
hsa:1813,DB01233
hsa:1813,D00780
hsa:1813,DB01239
hsa:1813,DB00248
hsa:1813,DB01238
hsa:1813,DB00568
hsa:1813,DBSALT001034
hsa:1813,DB01184
hsa:1813,DB00408
hsa:1813,DB00372
hsa:1813,DB00777
hsa:1813,DB00933
hsa:1813,DB01200
hsa:1814,DB00907
hsa:1814,DB00502
hsa:1814,DB00477
hsa:1814,DB00334
hsa:1814,DB00433
hsa:1814,DB00850
hsa:1814,DB00413
hsa:1814,DB01100
hsa:1814,DB01233
hsa:1814,DB01238
hsa:1814,DB00568
hsa:1814,DB00408
hsa:1814,DB00933
hsa:1815,DB00363
hsa:1815,DB00334
hsa:1815,DB00372
hsa:1815,DB00777
hsa:1816,DB00477
hsa:1816,DB00363
hsa:1816,DB00334
hsa:1816,DB00433
hsa:1816,DB01100
hsa:1816,DB00800
hsa:1816,DB00568
hsa:1816,DB00933
hsa:185,DB00177
hsa:185,DB00421
hsa:185,DB13919
hsa:185,DB01029
hsa:185,DB00966
hsa:185,D02082
hsa:185,DB00876
hsa:185,D05246
hsa:1909,DB00559
hsa:1910,DB00559
hsa:222545,D01126
hsa:222545,D02278
hsa:222545,D02279
hsa:23620,DB01106
hsa:2550,DB00181
hsa:2846,DB00201
hsa:2911,DB00740
hsa:2912,DB00740
hsa:2912,D03966
hsa:2913,DB00740
hsa:2913,D03966
hsa:2914,DB00740
hsa:2915,DB00740
hsa:2916,DB00740
hsa:2916,D03966
hsa:2917,DB00740
hsa:2918,DB00740
hsa:2918,DB00522
hsa:2918,D03966
hsa:3269,DB00637
hsa:3269,DB00363
hsa:3269,DB01075
hsa:3269,DB00455
hsa:3269,DB00334
hsa:3269,DBSALT000427
hsa:3269,DB00433
hsa:3269,DB01069
hsa:3269,DB00985
hsa:3269,DB00342
hsa:3269,D00665
hsa:3269,DBSALT000901
hsa:3269,D01242
hsa:3269,DB00568
hsa:3269,DB01071
hsa:3269,DB00920
hsa:3269,DB00751
hsa:3269,DB01106
hsa:3269,DB00427
hsa:3269,DB00366
hsa:3269,DB00372
hsa:3269,DB00777
hsa:3269,DB00934
hsa:3269,DB01176
hsa:3269,DB00902
hsa:3269,DB00716
hsa:3274,DB00501
hsa:3274,DB00927
hsa:3274,DB00863
hsa:3274,DB00585
hsa:3274,D00673
hsa:3274,DB00751
hsa:3274,DBSALT000287
hsa:3350,DB00363
hsa:3350,DB00669
hsa:3350,DB00960
hsa:3350,DB01233
hsa:3350,D01051
hsa:3350,DB01238
hsa:3350,DBSALT000884
hsa:3351,DB00363
hsa:3351,DB00315
hsa:3351,DB00669
hsa:3351,DB00960
hsa:3351,DB00953
hsa:3351,DBSALT001003
hsa:3351,DB01233
hsa:3351,DBSALT000884
hsa:3351,D02826
hsa:3351,D05740
hsa:3352,DB00363
hsa:3352,DB00315
hsa:3352,DB00669
hsa:3352,DB00960
hsa:3352,DB00953
hsa:3352,DBSALT001003
hsa:3352,DB01233
hsa:3352,DBSALT000884
hsa:3352,D02826
hsa:3352,D05740
hsa:3354,DB00363
hsa:3354,DB00669
hsa:3354,DB00960
hsa:3354,DB01233
hsa:3354,DBSALT000884
hsa:3355,DB00363
hsa:3355,DB00669
hsa:3355,DB00960
hsa:3355,DBSALT001246
hsa:3355,DBSALT001003
hsa:3355,DB01233
hsa:3355,DBSALT000884
hsa:3356,DB00477
hsa:3356,DB00363
hsa:3356,DB00734
hsa:3356,DB00669
hsa:3356,DB00334
hsa:3356,DB00433
hsa:3356,DB01069
hsa:3356,DB00960
hsa:3356,DB00370
hsa:3356,DB01233
hsa:3356,D01051
hsa:3356,DB01238
hsa:3356,D01358
hsa:3356,DB00751
hsa:3356,DB00408
hsa:3356,DB00372
hsa:3356,DB00247
hsa:3356,DB00777
hsa:3356,DB00933
hsa:3357,DB00363
hsa:3357,DB00669
hsa:3357,DB00960
hsa:3357,DB01233
hsa:3357,DB01238
hsa:3357,DBSALT000884
hsa:3358,DB00363
hsa:3358,DB00669
hsa:3358,DB00334
hsa:3358,DB00960
hsa:3358,DB00370
hsa:3358,DB01233
hsa:3358,DB01238
hsa:3358,DB00372
hsa:3358,DB00777
hsa:3358,DB06594
hsa:3360,DB00604
hsa:3360,DB00363
hsa:3360,DB00669
hsa:3360,DB00960
hsa:3360,DB01233
hsa:3360,D01994
hsa:3360,DB01079
hsa:3360,DB04917
hsa:3361,DB00363
hsa:3361,DB00669
hsa:3361,DB00960
hsa:3361,DB01233
hsa:3362,DB00363
hsa:3362,DB00669
hsa:3362,DB00334
hsa:3362,DB00960
hsa:3362,DB01233
hsa:3363,DB00363
hsa:3363,D01051
hsa:3363,DBSALT000884
hsa:338442,DB00627
hsa:3577,DB00553
hsa:3577,DB00404
hsa:3577,DB01124
hsa:3577,DB00726
hsa:3577,DB01011
hsa:3577,DB01115
hsa:3577,DB00201
hsa:3577,DB01159
hsa:3577,DB00357
hsa:3577,DB01355
hsa:4543,DB06594
hsa:4985,DB01100
hsa:4985,DB00497
hsa:4986,DB00907
hsa:4986,DB00611
hsa:4986,DB01209
hsa:4986,DB00497
hsa:4988,DB01081
hsa:4988,DB00652
hsa:4988,DB00611
hsa:4988,DB01209
hsa:4988,D00845
hsa:4988,DB01227
hsa:4988,DB00704
hsa:4988,DB00497
hsa:4988,DB00708
hsa:5028,DB00201
hsa:5029,DB00201
hsa:5030,DB00201
hsa:5031,DB00201
hsa:5032,DB00201
hsa:552,DBSALT000793
hsa:554,DBSALT000793
hsa:56413,DB00549
hsa:57105,DB00549
hsa:57105,DB00716
hsa:5724,D01652
hsa:5729,DB00716
hsa:5731,DB00770
hsa:5731,DB00429
hsa:5731,DB01088
hsa:5731,DB12708
hsa:5732,DB00770
hsa:5732,DB00929
hsa:5732,D03187
hsa:5733,DB00929
hsa:5733,DB13824
hsa:5733,DB12708
hsa:5737,DB00654
hsa:5737,DB01160
hsa:5737,DB00287
hsa:5739,DB00917
hsa:5739,DB00770
hsa:5739,DB01160
hsa:5739,DB01088
hsa:59340,DB00637
hsa:59340,DB00363
hsa:59340,DB01075
hsa:59340,DB00927
hsa:59340,DB01069
hsa:59340,DB00934
hsa:6010,DB03796
hsa:64805,DB01240
hsa:64805,DB00201
hsa:64805,DB00758
hsa:6751,DB00104
hsa:6752,DB00104
hsa:6752,D02250
hsa:6753,D02250
hsa:6755,D02250
hsa:6915,DB01016
hsa:6915,D03642
hsa:7201,D01925
hsa:7201,D02007
hsa:7201,D02588
hsa:8843,DB00312
hsa:8843,DB00411
hsa:8843,DB01233
hsa:8843,DB00184
hsa:886,DB00403
hsa:887,DB00403
hsa:9052,DB00755
hsa:9283,DB00619
hsa:9934,DB00201
