protein,drug
hsa:133121,DB00201
hsa:134510,DB00864
hsa:134510,DB00091
hsa:1360,DB04272
hsa:1363,DB00974
hsa:1374,DB00583
hsa:1376,DB00583
hsa:1384,DB00583
hsa:142679,DB00864
hsa:142679,DB00091
hsa:1429,DB00266
hsa:1431,DB04272
hsa:1432,D01840
hsa:1432,D03115
hsa:1432,DB03044
hsa:1436,DB00619
hsa:1436,DB00317
hsa:1436,DB06626
hsa:1436,DB06616
hsa:1436,D03350
hsa:1436,DBSALT000064
hsa:1436,DB01259
hsa:1436,DB12682
hsa:1445,DB00619
hsa:150290,DB00864
hsa:150290,DB00091
hsa:1504,DB00513
hsa:1504,DB00522
hsa:151531,DB00544
hsa:1537,DB00746
hsa:1543,DB00316
hsa:1543,DB00404
hsa:1543,DB01124
hsa:1543,DB00726
hsa:1543,DB01115
hsa:1543,DB00201
hsa:1543,DB01159
hsa:1543,DB03783
hsa:1543,DB00357
hsa:1543,DB00356
hsa:1543,DB01217
hsa:1543,DB01006
hsa:1543,DB01355
hsa:1543,DB01601
hsa:1543,D02451
hsa:1543,DB00746
hsa:1543,D03778
hsa:1543,D03781
hsa:1543,D03784
hsa:1544,DB00553
hsa:1544,DB00316
hsa:1544,DB00404
hsa:1544,DB00363
hsa:1544,DB01124
hsa:1544,DB00726
hsa:1544,DB01011
hsa:1544,DB01115
hsa:1544,DB00334
hsa:1544,DB00201
hsa:1544,DB01159
hsa:1544,DB00370
hsa:1544,DB03783
hsa:1544,DB00357
hsa:1544,DB00356
hsa:1544,DB01217
hsa:1544,DB01006
hsa:1544,DB01355
hsa:1544,DB01601
hsa:1544,D02451
hsa:1544,DB00746
hsa:1544,D03778
hsa:1544,D03781
hsa:1544,D03784
hsa:1545,DB00553
hsa:1545,DB00404
hsa:1545,DB01124
hsa:1545,DB00726
hsa:1545,DB01011
hsa:1545,DB01115
hsa:1545,DB00201
hsa:1545,DB01159
hsa:1545,DB00357
hsa:1545,DB01217
hsa:1545,DB01006
hsa:1545,DB01355
hsa:1545,DB01601
hsa:1545,D02451
hsa:1545,DB00746
hsa:1545,D03778
hsa:1545,D03781
hsa:1545,D03784
hsa:1548,DB00553
hsa:1548,DB00404
hsa:1548,DB01124
hsa:1548,DB00726
hsa:1548,DB01011
hsa:1548,DB01115
hsa:1548,DB00201
hsa:1548,DB01159
hsa:1548,DB00357
hsa:1548,DB01217
hsa:1548,DB01006
hsa:1548,DB01355
hsa:1548,DB01601
hsa:1548,D02451
hsa:1548,DB00746
hsa:1548,D03778
hsa:1548,D03781
hsa:1548,D03784
hsa:1549,DB00553
hsa:1549,DB00404
hsa:1549,DB01124
hsa:1549,DB00726
hsa:1549,DB01011
hsa:1549,DB01115
hsa:1549,DB01159
hsa:1549,DB00357
hsa:1549,DB00356
hsa:1549,DB01217
hsa:1549,DB01006
hsa:1549,DB01355
hsa:1549,DB01601
hsa:1549,D02451
hsa:1549,DB00184
hsa:1549,DB00746
hsa:1549,D03778
hsa:1549,D03781
hsa:1549,D03784
hsa:1551,DB00553
hsa:1551,DB00404
hsa:1551,DB01124
hsa:1551,DB00726
hsa:1551,DB01011
hsa:1551,DB01115
hsa:1551,DB00201
hsa:1551,DB01159
hsa:1551,DB00357
hsa:1551,DB01217
hsa:1551,DB01006
hsa:1551,DB01355
hsa:1551,DB01601
hsa:1551,D02451
hsa:1551,DB00746
hsa:1551,D03778
hsa:1551,D03781
hsa:1551,D03784
hsa:1553,DB00553
hsa:1553,DB00404
hsa:1553,DB01124
hsa:1553,DB00726
hsa:1553,DB01011
hsa:1553,DB01115
hsa:1553,DB00201
hsa:1553,DB01159
hsa:1553,DB00357
hsa:1553,DB01217
hsa:1553,DB01006
hsa:1553,DB01355
hsa:1553,DB01601
hsa:1553,D02451
hsa:1553,DB00184
hsa:1553,DB00746
hsa:1553,D03778
hsa:1553,D03781
hsa:1553,D03784
hsa:1555,DB00553
hsa:1555,DB00404
hsa:1555,DB01124
hsa:1555,DB00726
hsa:1555,DB01011
hsa:1555,DB01115
hsa:1555,DB00201
hsa:1555,DB01159
hsa:1555,DB00357
hsa:1555,DB01217
hsa:1555,DB01006
hsa:1555,DB01355
hsa:1555,DB01601
hsa:1555,D02451
hsa:1555,DB00746
hsa:1555,D03778
hsa:1555,D03781
hsa:1555,D03784
hsa:1557,DB00553
hsa:1557,DB00404
hsa:1557,DB00363
hsa:1557,DB00829
hsa:1557,DB00196
hsa:1557,DB01124
hsa:1557,DB00726
hsa:1557,DB01011
hsa:1557,D00416
hsa:1557,DB01115
hsa:1557,DB00252
hsa:1557,DB00201
hsa:1557,DB00776
hsa:1557,DB00949
hsa:1557,DB01159
hsa:1557,DB00357
hsa:1557,DB01110
hsa:1557,DB01217
hsa:1557,DB01006
hsa:1557,DB01355
hsa:1557,DB01601
hsa:1557,D02451
hsa:1557,DB00746
hsa:1557,D03778
hsa:1557,D03781
hsa:1557,D03784
hsa:1557,DB00213
hsa:1558,DB00553
hsa:1558,DB00404
hsa:1558,DB00564
hsa:1558,DB01124
hsa:1558,DB00726
hsa:1558,DB01011
hsa:1558,DB01115
hsa:1558,DB00201
hsa:1558,DB01159
hsa:1558,DB00357
hsa:1558,DB00412
hsa:1558,DB01217
hsa:1558,DB01006
hsa:1558,DB01355
hsa:1558,DB01601
hsa:1558,DB00661
hsa:1558,D02451
hsa:1558,DB00746
hsa:1558,D03778
hsa:1558,D03781
hsa:1558,D03784
hsa:1558,DB03796
hsa:1559,DB01050
hsa:1559,DB00553
hsa:1559,DB00404
hsa:1559,DB00196
hsa:1559,DB01124
hsa:1559,DB00726
hsa:1559,DB01011
hsa:1559,D00416
hsa:1559,DB00252
hsa:1559,DB00201
hsa:1559,DB01159
hsa:1559,DB00482
hsa:1559,DB00357
hsa:1559,DB00222
hsa:1559,DB01110
hsa:1559,DB01217
hsa:1559,DB01006
hsa:1559,DB01355
hsa:1559,DB01601
hsa:1559,D02451
hsa:1559,DB00746
hsa:1559,D03778
hsa:1559,D03781
hsa:1559,D03784
hsa:1559,DB00213
hsa:1562,DB00553
hsa:1562,DB00404
hsa:1562,DB01124
hsa:1562,DB00726
hsa:1562,DB01011
hsa:1562,DB01115
hsa:1562,DB00201
hsa:1562,DB01159
hsa:1562,DB00357
hsa:1562,DB01217
hsa:1562,DB01006
hsa:1562,DB01355
hsa:1562,DB01601
hsa:1562,D02451
hsa:1562,DB00746
hsa:1562,D03778
hsa:1562,D03781
hsa:1562,D03784
hsa:1565,DB00553
hsa:1565,DB00316
hsa:1565,DB00404
hsa:1565,DB00637
hsa:1565,DB00604
hsa:1565,DB00363
hsa:1565,DB01075
hsa:1565,DB01124
hsa:1565,DB00726
hsa:1565,DB01011
hsa:1565,DB01115
hsa:1565,DB00334
hsa:1565,DB00850
hsa:1565,DB00342
hsa:1565,DB00201
hsa:1565,DB01159
hsa:1565,DB00370
hsa:1565,DB00357
hsa:1565,DB01217
hsa:1565,DB01006
hsa:1565,DB01355
hsa:1565,DB01238
hsa:1565,DB01601
hsa:1565,DB00612
hsa:1565,D02451
hsa:1565,DB00933
hsa:1565,DB00746
hsa:1565,D03778
hsa:1565,D03781
hsa:1565,D03784
hsa:1571,DB00822
hsa:1571,DB00553
hsa:1571,DB00316
hsa:1571,DB00404
hsa:1571,DB01124
hsa:1571,DB00726
hsa:1571,DB01011
hsa:1571,DB01115
hsa:1571,DB00201
hsa:1571,DB00228
hsa:1571,DB01028
hsa:1571,DB01236
hsa:1571,DB00357
hsa:1571,DB00356
hsa:1571,DB01217
hsa:1571,DB01006
hsa:1571,DB01355
hsa:1571,DB01601
hsa:1571,D02451
hsa:1571,DB00746
hsa:1571,D03778
hsa:1571,D03781
hsa:1571,D03784
hsa:1572,DB00553
hsa:1572,DB00404
hsa:1572,DB01124
hsa:1572,DB00726
hsa:1572,DB01011
hsa:1572,DB01115
hsa:1572,DB00201
hsa:1572,DB01159
hsa:1572,DB00357
hsa:1572,DB01217
hsa:1572,DB01006
hsa:1572,DB01355
hsa:1572,DB01601
hsa:1572,D02451
hsa:1572,DB00746
hsa:1572,D03778
hsa:1572,D03781
hsa:1572,D03784
hsa:1573,DB00553
hsa:1573,DB00404
hsa:1573,DB01124
hsa:1573,DB00726
hsa:1573,DB01011
hsa:1573,DB01115
hsa:1573,DB00201
hsa:1573,DB01159
hsa:1573,DB00357
hsa:1573,DB01217
hsa:1573,DB01006
hsa:1573,DB01355
hsa:1573,DB01601
hsa:1573,D02451
hsa:1573,DB00746
hsa:1573,D03778
hsa:1573,D03781
hsa:1573,D03784
hsa:1576,DB00502
hsa:1576,DB00553
hsa:1576,DB00404
hsa:1576,DB00637
hsa:1576,DB00564
hsa:1576,DB00604
hsa:1576,DB00363
hsa:1576,DB00829
hsa:1576,DB00455
hsa:1576,DB01124
hsa:1576,DB00897
hsa:1576,DB00726
hsa:1576,DB01011
hsa:1576,DB00641
hsa:1576,DB01115
hsa:1576,DB00850
hsa:1576,DB00342
hsa:1576,DB00201
hsa:1576,DB01159
hsa:1576,DB00683
hsa:1576,DB00370
hsa:1576,DB00357
hsa:1576,DB01217
hsa:1576,DB01006
hsa:1576,DB01355
hsa:1576,DB01601
hsa:1576,DBSALT000884
hsa:1576,DB00661
hsa:1576,D02451
hsa:1576,DB00746
hsa:1576,D03778
hsa:1576,D03781
hsa:1576,D03784
hsa:1576,DB00213
hsa:1577,DB00553
hsa:1577,DB00404
hsa:1577,DB01124
hsa:1577,DB00726
hsa:1577,DB01011
hsa:1577,DB01115
hsa:1577,DB00201
hsa:1577,DB01159
hsa:1577,DB00357
hsa:1577,DB01217
hsa:1577,DB01006
hsa:1577,DB01355
hsa:1577,DB01601
hsa:1577,D02451
hsa:1577,DB00746
hsa:1577,D03778
hsa:1577,D03781
hsa:1577,D03784
hsa:1579,DB00553
hsa:1579,DB00404
hsa:1579,DB01124
hsa:1579,DB00726
hsa:1579,DB01011
hsa:1579,DB01115
hsa:1579,DB00201
hsa:1579,DB01159
hsa:1579,DB00357
hsa:1579,DB01355
hsa:1580,DB00553
hsa:1580,DB00404
hsa:1580,DB01124
hsa:1580,DB00726
hsa:1580,DB01011
hsa:1580,DB01115
hsa:1580,DB00201
hsa:1580,DB01159
hsa:1580,DB00357
hsa:1580,DB01217
hsa:1580,DB01006
hsa:1580,DB01355
hsa:1580,DB01601
hsa:1580,D02451
hsa:1580,DB00746
hsa:1580,D03778
hsa:1580,D03781
hsa:1580,D03784
hsa:1581,DB00553
hsa:1581,DB00404
hsa:1581,DB01124
hsa:1581,DB00726
hsa:1581,DB01011
hsa:1581,DB01115
hsa:1581,DB00201
hsa:1581,DB01159
hsa:1581,DB00357
hsa:1581,DB01355
hsa:1581,DB00746
hsa:1582,DB00553
hsa:1582,DB00404
hsa:1582,DB01124
hsa:1582,DB00726
hsa:1582,DB01011
hsa:1582,DB01115
hsa:1582,DB00201
hsa:1582,DB01159
hsa:1582,DB00357
hsa:1582,DB01355
hsa:1582,DB00746
hsa:1583,DB00553
hsa:1583,DB00404
hsa:1583,DB01124
hsa:1583,DB00726
hsa:1583,DB01115
hsa:1583,DB00201
hsa:1583,DB01159
hsa:1583,DB00357
hsa:1583,DB01355
hsa:1583,DB00746
hsa:1584,DB00553
hsa:1584,DB00404
hsa:1584,DB01124
hsa:1584,DB00726
hsa:1584,DB01011
hsa:1584,DB01115
hsa:1584,DB00201
hsa:1584,DB01159
hsa:1584,DB00357
hsa:1584,DB01355
hsa:1584,DB00746
hsa:1585,DB00553
hsa:1585,DB00404
hsa:1585,DB01124
hsa:1585,DB00726
hsa:1585,DB00201
hsa:1585,DB01159
hsa:1585,DB00357
hsa:1585,DB01355
hsa:1585,DB00746
hsa:1586,DB00553
hsa:1586,DB00404
hsa:1586,DB01124
hsa:1586,DB00726
hsa:1586,DB01011
hsa:1586,DB01115
hsa:1586,DB00201
hsa:1586,DB01159
hsa:1586,DB00357
hsa:1586,DB01355
hsa:1586,DB00746
hsa:1586,D03781
hsa:1586,D03784
hsa:1588,DB00553
hsa:1588,DB00894
hsa:1588,DB00404
hsa:1588,DB01124
hsa:1588,DB00726
hsa:1588,DB01011
hsa:1588,DB01115
hsa:1588,DB00201
hsa:1588,DB01159
hsa:1588,DB00357
hsa:1588,DB01217
hsa:1588,DB00990
hsa:1588,DB01006
hsa:1588,DB01355
hsa:1588,DB01601
hsa:1588,D02451
hsa:1588,DB00746
hsa:1588,D03778
hsa:1588,D03781
hsa:1588,D03784
hsa:1589,DB00553
hsa:1589,DB00404
hsa:1589,DB01124
hsa:1589,DB00726
hsa:1589,DB01011
hsa:1589,DB01115
hsa:1589,DB00201
hsa:1589,DB01159
hsa:1589,DB01355
hsa:1589,DB00746
hsa:1593,DB00553
hsa:1593,DB00169
hsa:1593,DB00404
hsa:1593,DB01124
hsa:1593,DB00726
hsa:1593,DB01011
hsa:1593,DB01115
hsa:1593,DB00201
hsa:1593,DB01159
hsa:1593,DB00357
hsa:1593,DB01355
hsa:1593,DB00746
hsa:1594,DB00136
hsa:1594,DB00553
hsa:1594,DB00153
hsa:1594,DB00404
hsa:1594,DB01124
hsa:1594,DB00726
hsa:1594,DB01011
hsa:1594,DB01115
hsa:1594,DB00201
hsa:1594,DB01159
hsa:1594,DB00357
hsa:1594,DB01355
hsa:1594,DB00746
hsa:1595,DB00553
hsa:1595,DB00404
hsa:1595,DB01124
hsa:1595,DB00726
hsa:1595,DB01011
hsa:1595,DB01115
hsa:1595,DB00201
hsa:1595,DB01159
hsa:1595,DB00357
hsa:1595,DB01355
hsa:1595,DB06440
hsa:1595,DB00746
hsa:1610,DB03147
hsa:1610,DB03793
hsa:1621,DB00822
hsa:1621,D03787
hsa:1633,DB00441
hsa:1636,DB01180
hsa:1636,DB01197
hsa:1636,DB00722
hsa:1636,DB00519
hsa:1636,DB00178
hsa:1636,D00459
hsa:1636,DBSALT000554
hsa:1636,DBSALT001036
hsa:1636,D00622
hsa:1636,D00623
hsa:1636,DBSALT001145
hsa:1636,D01069
hsa:1636,D01119
hsa:1636,D01549
hsa:1636,D01667
hsa:1636,D01900
hsa:1636,DB14125
hsa:1636,D03440
hsa:1636,DB00881
hsa:1636,DB00790
hsa:1636,D03756
hsa:1636,D03758
hsa:1636,D03760
hsa:1636,D03763
hsa:1636,D03765
hsa:1636,D03767
hsa:1636,DB09477
hsa:1636,DB14207
hsa:1636,DB14217
hsa:1636,D03775
hsa:1636,D03776
hsa:1645,DB00502
hsa:1675,DB00677
hsa:1675,DB00513
hsa:1719,DB00563
hsa:1719,DB00440
hsa:1719,D00285
hsa:1719,DB00205
hsa:1719,D02115
hsa:1719,D02487
hsa:1719,DB01157
hsa:1723,DB02262
hsa:1723,DB01097
hsa:1725,D00002
hsa:1728,DB03147
hsa:1728,DB00305
hsa:1728,DB00266
hsa:1733,DB00316
hsa:1733,DB00763
hsa:1733,DB00550
hsa:1733,DB00255
hsa:1733,DB00746
hsa:1734,DB00316
hsa:1734,DB00763
hsa:1734,DB00550
hsa:1734,DB00255
hsa:1734,DB00746
hsa:1735,DB00316
hsa:1735,DB00763
hsa:1735,DB00550
hsa:1735,DB00255
hsa:1735,DB00746
hsa:18,DB00996
hsa:18,DB01080
hsa:1800,DBSALT001295
hsa:1803,DB00677
hsa:1806,DB03147
hsa:1806,DB03419
hsa:1806,DB00544
hsa:1843,DB00864
hsa:1843,DB00091
hsa:1844,DB00864
hsa:1844,DB00091
hsa:1845,DB00864
hsa:1845,DB00091
hsa:1846,DB00864
hsa:1846,DB00091
hsa:1847,DB00864
hsa:1847,DB00091
hsa:1848,DB00864
hsa:1848,DB00091
hsa:1849,DB00864
hsa:1849,DB00091
hsa:1850,DB00864
hsa:1850,DB00091
hsa:1852,DB00864
hsa:1852,DB00091
hsa:189,DB01042
hsa:1890,DB01101
hsa:191,D00002
hsa:1956,DB00619
hsa:1956,DB00317
hsa:1956,DB06626
hsa:1956,DB06616
hsa:1956,D03350
hsa:1956,DBSALT000064
hsa:1956,DB01259
hsa:1956,DB12682
hsa:196883,D00002
hsa:1969,DB00619
hsa:1969,DB00317
hsa:1969,DB06626
hsa:1969,DB06616
hsa:1969,D03350
hsa:1969,DBSALT000064
hsa:1969,DB01259
hsa:1969,DB12682
hsa:1990,DB00513
hsa:1991,DB00513
hsa:1991,D01918
hsa:1991,DB12863
hsa:199974,DB00553
hsa:199974,DB00404
hsa:199974,DB01124
hsa:199974,DB00726
hsa:199974,DB01011
hsa:199974,DB01115
hsa:199974,DB00201
hsa:199974,DB01159
hsa:199974,DB00357
hsa:199974,DB01217
hsa:199974,DB01006
hsa:199974,DB01355
hsa:199974,DB01601
hsa:199974,D02451
hsa:199974,DB00746
hsa:199974,D03778
hsa:199974,D03781
hsa:199974,D03784
hsa:2041,DB00619
hsa:2041,DB00317
hsa:2041,DB06626
hsa:2041,DB06616
hsa:2041,D03350
hsa:2041,DBSALT000064
hsa:2041,DB01259
hsa:2041,DB12682
hsa:2042,DB00619
hsa:2042,DB00317
hsa:2042,DB06626
hsa:2042,DB06616
hsa:2042,D03350
hsa:2042,DBSALT000064
hsa:2042,DB01259
hsa:2042,DB12682
hsa:2043,DB00619
hsa:2043,DB00317
hsa:2043,DB06626
hsa:2043,DB06616
hsa:2043,D03350
hsa:2043,DBSALT000064
hsa:2043,DB01259
hsa:2043,DB12682
hsa:2044,DB00619
hsa:2044,DB00317
hsa:2044,DB06626
hsa:2044,DB06616
hsa:2044,D03350
hsa:2044,DBSALT000064
hsa:2044,DB01259
hsa:2044,DB12682
hsa:2045,DB00619
hsa:2045,DB00317
hsa:2045,DB06626
hsa:2045,DB06616
hsa:2045,D03350
hsa:2045,DBSALT000064
hsa:2045,DB01259
hsa:2045,DB12682
hsa:2046,DB00619
hsa:2046,DB00317
hsa:2046,DB06626
hsa:2046,DB06616
hsa:2046,D03350
hsa:2046,DBSALT000064
hsa:2046,DB01259
hsa:2046,DB12682
hsa:2047,DB00619
hsa:2047,DB00317
hsa:2047,DB06626
hsa:2047,DB06616
hsa:2047,D03350
hsa:2047,DBSALT000064
hsa:2047,DB01259
hsa:2047,DB12682
hsa:2048,DB00619
hsa:2048,DB00317
hsa:2048,DB06626
hsa:2048,DB06616
hsa:2048,D03350
hsa:2048,DBSALT000064
hsa:2048,DB01259
hsa:2048,DB12682
hsa:2049,DB00619
hsa:2049,DB00317
hsa:2049,DB06626
hsa:2049,DB06616
hsa:2049,D03350
hsa:2049,DBSALT000064
hsa:2049,DB01259
hsa:2049,DB12682
hsa:2050,DB00619
hsa:2050,DB00317
hsa:2050,DB06626
hsa:2050,DB06616
hsa:2050,D03350
hsa:2050,DBSALT000064
hsa:2050,DB01259
hsa:2050,DB12682
hsa:2051,DB00619
hsa:2051,DB00317
hsa:2051,DB06626
hsa:2051,DB06616
hsa:2051,D03350
hsa:2051,DBSALT000064
hsa:2051,DB01259
hsa:2051,DB12682
hsa:2058,DB00172
hsa:2064,DB00619
hsa:2064,DB00317
hsa:2064,DB06626
hsa:2064,DB06616
hsa:2064,D03350
hsa:2064,DBSALT000064
hsa:2064,DB01259
hsa:2064,DB12682
hsa:2065,DB00619
hsa:2065,DB00317
hsa:2065,DB06626
hsa:2065,DB06616
hsa:2065,D03350
hsa:2065,DBSALT000064
hsa:2065,DB01259
hsa:2065,DB12682
hsa:2066,DB00619
hsa:2066,DB00317
hsa:2066,DB06626
hsa:2066,DB06616
hsa:2066,D03350
hsa:2066,DBSALT000064
hsa:2066,DB01259
hsa:2066,DB12682
hsa:2098,DB00677
hsa:2098,DB01101
hsa:2135,DB01025
hsa:2147,DB00477
hsa:2147,DB01069
hsa:2147,DB01100
hsa:2147,DB00527
hsa:2147,DB04898
hsa:2147,DB00170
hsa:2147,D03722
hsa:2147,D03728
hsa:2155,DB00677
hsa:2155,DB00513
hsa:2155,DB00170
hsa:2158,DB00677
hsa:2158,DB00513
hsa:2158,DB00170
hsa:2159,DB00677
hsa:2159,DB00513
hsa:2159,DBSALT002741
hsa:2159,DB00170
hsa:2159,D04029
hsa:216,D00002
hsa:216,DB00755
hsa:216,DB00822
hsa:2160,DB00677
hsa:2160,DB00513
hsa:2161,DB00677
hsa:2161,DB00513
hsa:217,D00002
hsa:217,DB00822
hsa:218,DB00822
hsa:2180,DB00131
hsa:2185,DB00619
hsa:219,DB00822
hsa:2193,DB00120
hsa:2224,DB00399
hsa:223,DB00822
hsa:2232,DB03147
hsa:2235,DB00746
hsa:224,DB00822
hsa:2241,DB00619
hsa:2242,DB00619
hsa:225689,D01840
hsa:225689,D03115
hsa:225689,DB03044
hsa:2260,DB00619
hsa:2260,DB00317
hsa:2260,DB06626
hsa:2260,DB06616
hsa:2260,D03350
hsa:2260,DBSALT000064
hsa:2260,DB01259
hsa:2260,DB12682
hsa:2261,DB00619
hsa:2261,DB00317
hsa:2261,DB06626
hsa:2261,DB06616
hsa:2261,D03350
hsa:2261,DBSALT000064
hsa:2261,DB01259
hsa:2261,DB12682
hsa:2263,DB00619
hsa:2263,DB00317
hsa:2263,DB06626
hsa:2263,DB06616
hsa:2263,D03350
hsa:2263,DBSALT000064
hsa:2263,DB01259
hsa:2263,DB12682
hsa:2264,DB00619
hsa:2264,DB00317
hsa:2264,DB06626
hsa:2264,DB06616
hsa:2264,D03350
hsa:2264,DBSALT000064
hsa:2264,DB01259
hsa:2264,DB12682
hsa:2280,DB00877
hsa:22843,DB00864
hsa:22843,DB00091
hsa:22954,DB00363
hsa:22954,DB00669
hsa:22954,DB00960
hsa:22954,DB01233
hsa:22978,DB00811
hsa:22978,DB00806
hsa:23035,DB00864
hsa:23035,DB00091
hsa:23097,DBSALT000800
hsa:231,DB04272
hsa:231,DB00502
hsa:231,DB15293
hsa:231,D01715
hsa:231,DB02021
hsa:231,DB02383
hsa:231,DB08772
hsa:231,D02835
hsa:231,DB07063
hsa:231,D03805
hsa:231,D03806
hsa:231,DB02132
hsa:2321,DB00619
hsa:2321,DB00317
hsa:2321,DB06626
hsa:2321,DB06616
hsa:2321,D03350
hsa:2321,DBSALT000064
hsa:2321,DB01259
hsa:2321,DB12682
hsa:2322,DB00619
hsa:2322,DB00317
hsa:2322,DB06626
hsa:2322,DB06616
hsa:2322,D03350
hsa:2322,DBSALT000064
hsa:2322,DB01259
hsa:2322,DB12682
hsa:23236,DB00235
hsa:23236,DB00806
hsa:23236,DB00201
hsa:23239,DB00864
hsa:23239,DB00091
hsa:2324,DB00619
hsa:2324,DB00317
hsa:2324,DB06626
hsa:2324,DB06616
hsa:2324,D03350
hsa:2324,DBSALT000064
hsa:2324,DB01259
hsa:2324,DB12682
hsa:2326,DB03147
hsa:2326,DB00763
hsa:2328,DB00605
hsa:2328,DB00763
hsa:2328,DB00184
hsa:2339,DB04960
hsa:2342,DB04960
hsa:23430,DB00677
hsa:23430,DB00513
hsa:23436,DB00677
hsa:23436,DB00513
hsa:23475,DB00627
hsa:2356,DB00158
hsa:23632,DB00819
hsa:23632,DB00999
hsa:23632,DB01144
hsa:23632,DB00880
hsa:23632,DB00909
hsa:23632,DB01194
hsa:23632,DBSALT000931
hsa:23632,DB00703
hsa:23632,DBSALT000539
hsa:23632,D03845
hsa:238,DB00619
hsa:238,DB00317
hsa:238,DB06626
hsa:238,DB06616
hsa:238,D03350
hsa:238,DBSALT000064
hsa:238,DB01259
hsa:238,DB12682
hsa:239,DB00936
hsa:239,DB00788
hsa:239,DB01050
hsa:239,DB01009
hsa:239,DB00328
hsa:239,DB00795
hsa:239,DB00812
hsa:239,DB00920
hsa:240,DB00936
hsa:240,DB00788
hsa:240,DB01050
hsa:240,DB01009
hsa:240,DB00328
hsa:240,DB00244
hsa:240,DB00744
hsa:240,DB00795
hsa:240,DB00812
hsa:240,DB00920
hsa:240,D03882
hsa:242,DB00936
hsa:242,DB00788
hsa:242,DB01050
hsa:242,DB01009
hsa:242,DB00328
hsa:242,DB00795
hsa:242,DB00812
hsa:242,DB00920
hsa:246,DB00936
hsa:246,DB00788
hsa:246,DB01009
hsa:246,DB00328
hsa:246,DB00795
hsa:246,DB00812
hsa:246,DB00920
hsa:246,DBSALT001147
hsa:247,DB00936
hsa:247,DB00788
hsa:247,DB01009
hsa:247,DB00328
hsa:247,DB00795
hsa:247,DB00812
hsa:247,DB00920
hsa:25,DB00619
