protein,drug
hsa:2561,DB00404
hsa:2561,DB00829
hsa:2561,DB00690
hsa:2561,DB00312
hsa:2561,DB00962
hsa:2561,DB00753
hsa:2561,DB01236
hsa:2561,DB00292
hsa:2561,DB00818
hsa:2561,DB00683
hsa:2562,DB00404
hsa:2562,DB00829
hsa:2562,DB00690
hsa:2562,DB00312
hsa:2562,DB00962
hsa:2562,DB00753
hsa:2562,DB01236
hsa:2562,DB00292
hsa:2562,DB00818
hsa:2562,DB00683
hsa:2563,DB00404
hsa:2563,DB00829
hsa:2563,DB00690
hsa:2563,DB00312
hsa:2563,DB00962
hsa:2563,DB00753
hsa:2563,DB01236
hsa:2563,DB00292
hsa:2563,DB00818
hsa:2563,DB00683
hsa:2564,DB00404
hsa:2564,DB00829
hsa:2564,DB00690
hsa:2564,DB00312
hsa:2564,DB00962
hsa:2564,DB00753
hsa:2564,DB01236
hsa:2564,DB00292
hsa:2564,DB00818
hsa:2564,DB00683
hsa:2566,DB00404
hsa:2566,DB00829
hsa:2566,DB00690
hsa:2566,DB00312
hsa:2566,DB00962
hsa:2566,DB00753
hsa:2566,DB01236
hsa:2566,DB00292
hsa:2566,DB00818
hsa:2566,DB00683
hsa:2567,DB00404
hsa:2567,DB00829
hsa:2567,DB00690
hsa:2567,DB00312
hsa:2567,DB00962
hsa:2567,DB00753
hsa:2567,DB01236
hsa:2567,DB00292
hsa:2567,DB00818
hsa:2567,DB00683
hsa:2569,DB00404
hsa:2569,DB00829
hsa:2569,DB00690
hsa:2569,DB00312
hsa:2569,DB00962
hsa:2569,DB00753
hsa:2569,DB01236
hsa:2569,DB00292
hsa:2569,DB00818
hsa:2569,DB00683
hsa:2570,DB00829
hsa:2570,DB00962
hsa:2570,DB00818
hsa:26251,DB01119
hsa:26251,DB00661
hsa:27012,DB01119
hsa:27012,DB00661
hsa:27092,DB00996
hsa:27092,DB01115
hsa:27092,DB00252
hsa:27092,DB01159
hsa:27092,DB01100
hsa:27092,DB00401
hsa:27092,DB01054
hsa:27092,DB00568
hsa:27092,DB00661
hsa:27094,DB01119
hsa:27094,DB00661
hsa:27133,DB01119
hsa:27133,D00642
hsa:27133,DB00204
hsa:27133,D02272
hsa:27133,DB00661
hsa:27345,DB01119
hsa:27345,DB00661
hsa:2741,DB00829
hsa:2741,DB00949
hsa:2741,DB01159
hsa:2741,DB00228
hsa:2741,DB01028
hsa:2741,DB00753
hsa:2741,DB01189
hsa:2741,DB01236
hsa:2741,DB00818
hsa:2741,D02041
hsa:2742,DB00829
hsa:2742,DB00949
hsa:2742,DB01236
hsa:2742,DB00818
hsa:2742,D02041
hsa:2743,DB00829
hsa:2743,DB00949
hsa:2743,DB01236
hsa:2743,DB00818
hsa:285242,DB00363
hsa:285242,DB00669
hsa:285242,DB00960
hsa:285242,D00633
hsa:285242,D00677
hsa:285242,D00678
hsa:285242,DB01233
hsa:285242,D02041
hsa:2890,DB01119
hsa:2890,DB01159
hsa:2890,DB00228
hsa:2890,DB01028
hsa:2890,DB00753
hsa:2890,DB01189
hsa:2890,DB01236
hsa:2890,DB00740
hsa:2891,DB01119
hsa:2891,DB00740
hsa:2891,DB00606
hsa:2892,DB01119
hsa:2892,DB00740
hsa:2893,DB01119
hsa:2893,DB00740
hsa:2895,DB00740
hsa:2897,DB00273
hsa:2897,DB00740
hsa:2897,D02546
hsa:2898,D02546
hsa:2899,DB00740
hsa:2899,D02546
hsa:2900,DB00740
hsa:2900,D02546
hsa:2901,DB00740
hsa:2901,D02546
hsa:2902,DB00502
hsa:2902,DBSALT000396
hsa:2902,D03878
hsa:2903,DB00502
hsa:2903,DBSALT000396
hsa:2903,D03878
hsa:2904,DB00502
hsa:2904,DBSALT000396
hsa:2904,D03878
hsa:2905,DB00502
hsa:2905,DBSALT000396
hsa:2905,D03878
hsa:2906,DB00502
hsa:2906,DBSALT000396
hsa:2906,D03878
hsa:3359,DB00363
hsa:3359,DB00669
hsa:3359,DB00904
hsa:3359,DB00960
hsa:3359,DB00370
hsa:3359,D00633
hsa:3359,D00677
hsa:3359,D00678
hsa:3359,DB01233
hsa:3359,D02041
hsa:3359,DB00184
hsa:3359,DB00889
hsa:3708,DB00996
hsa:3708,DB01115
hsa:3708,DB00252
hsa:3708,DB01159
hsa:3708,DB01100
hsa:3708,DB00401
hsa:3708,DB01054
hsa:3708,DB00568
hsa:3708,DB00661
hsa:3710,DB00996
hsa:3710,DB01115
hsa:3710,DB00252
hsa:3710,DB01159
hsa:3710,DB01100
hsa:3710,DB00401
hsa:3710,DB01054
hsa:3710,DB00568
hsa:3710,DB00661
hsa:3736,DB01119
hsa:3736,DB00228
hsa:3736,DB01028
hsa:3736,DB00753
hsa:3736,DB01189
hsa:3736,DB01236
hsa:3736,D00616
hsa:3736,D00638
hsa:3736,DB00661
hsa:3736,D03830
hsa:3737,DB01119
hsa:3737,D00616
hsa:3737,D00638
hsa:3737,DB00661
hsa:3737,D03830
hsa:3738,DB01119
hsa:3738,D00616
hsa:3738,D00619
hsa:3738,D02261
hsa:3738,D02262
hsa:3738,DB00661
hsa:3738,D03830
hsa:3739,DB01119
hsa:3739,D00617
hsa:3739,D00642
hsa:3739,D02272
hsa:3739,DB00661
hsa:3741,DB01119
hsa:3741,DB00455
hsa:3741,D00616
hsa:3741,D00638
hsa:3741,DBSALT000148
hsa:3741,D00642
hsa:3741,D01450
hsa:3741,D02272
hsa:3741,DB00661
hsa:3741,D03830
hsa:3742,DB01119
hsa:3742,DB00661
hsa:3743,DB01119
hsa:3743,D00619
hsa:3743,D00636
hsa:3743,D00638
hsa:3743,D00642
hsa:3743,D02272
hsa:3743,DB00661
hsa:3744,DB01119
hsa:3744,DB01026
hsa:3744,D00619
hsa:3744,DB00661
hsa:3745,DB01119
hsa:3745,DB00661
hsa:3746,DB01119
hsa:3746,D00616
hsa:3746,D00638
hsa:3746,DB00661
hsa:3746,D03830
hsa:3747,DB01119
hsa:3747,D00619
hsa:3747,DB00661
hsa:3748,DB01119
hsa:3748,DB00661
hsa:3749,DB01119
hsa:3749,DB00661
hsa:3750,DB01119
hsa:3750,DB00661
hsa:3751,DB01119
hsa:3751,DB00661
hsa:3752,DB01119
hsa:3752,D01450
hsa:3752,DB00661
hsa:3752,D05156
hsa:3753,DB01119
hsa:3753,DB00808
hsa:3753,DB00661
hsa:3754,DB01119
hsa:3754,DB00661
hsa:3755,DB01119
hsa:3755,DB00661
hsa:3756,DB01119
hsa:3756,D00642
hsa:3756,D02272
hsa:3756,DB00661
hsa:3757,DB00637
hsa:3757,DB00604
hsa:3757,DB01119
hsa:3757,DB01026
hsa:3757,DB00342
hsa:3757,DB00204
hsa:3757,DB00308
hsa:3757,D02092
hsa:3757,DB00661
hsa:3757,D02485
hsa:3758,DB00414
hsa:3758,DB01119
hsa:3758,DB01067
hsa:3758,DB01016
hsa:3758,DB00839
hsa:3758,DB01124
hsa:3758,DB00350
hsa:3758,DB00222
hsa:3758,DB00912
hsa:3758,DB00731
hsa:3758,DB00661
hsa:3759,DB01119
hsa:3759,DB00661
hsa:3760,DB01119
hsa:3760,DB00661
hsa:3761,DB01119
hsa:3761,DB00661
hsa:3762,DB01119
hsa:3762,DB00661
hsa:3763,DB01119
hsa:3763,D00326
hsa:3763,DB00679
hsa:3763,D00619
hsa:3763,DBSALT000503
hsa:3763,DB00472
hsa:3763,D01450
hsa:3763,DB00661
hsa:3763,D03878
hsa:3764,DB01119
hsa:3764,DB00661
hsa:3765,DB01119
hsa:3765,DB00661
hsa:3766,DB01119
hsa:3766,DB00661
hsa:3767,DB01067
hsa:3767,DB00839
hsa:3767,DB00308
hsa:3767,DB01120
hsa:3767,D01799
hsa:3767,DB01252
hsa:3768,DB01119
hsa:3768,DB00661
hsa:3769,DB01119
hsa:3769,DB00661
hsa:3772,DB01119
hsa:3772,DB00661
hsa:3773,DB01119
hsa:3773,DB00661
hsa:3775,DB01119
hsa:3775,DB00308
hsa:3775,DB00661
hsa:3776,D00642
hsa:3776,DB00204
hsa:3776,D02272
hsa:3778,DB01119
hsa:3778,DB00999
hsa:3778,DB00880
hsa:3778,DB01159
hsa:3778,DB00436
hsa:3778,DB00562
hsa:3778,DB00774
hsa:3778,DB00232
hsa:3778,DB01021
hsa:3778,DB00356
hsa:3778,DB00606
hsa:3778,DB00661
hsa:3779,DB01119
hsa:3779,DB00661
hsa:3780,DB01119
hsa:3780,D00326
hsa:3780,DB00472
hsa:3780,D01575
hsa:3780,D02207
hsa:3780,DB00661
hsa:3781,DB01119
hsa:3781,D00326
hsa:3781,DBSALT000569
hsa:3781,D00809
hsa:3781,DB00472
hsa:3781,D01448
hsa:3781,D02207
hsa:3781,DBSALT000625
hsa:3781,DB00661
hsa:3781,D03274
hsa:3781,D04034
hsa:3782,DB01119
hsa:3782,D00326
hsa:3782,DBSALT000427
hsa:3782,D00791
hsa:3782,D00809
hsa:3782,DBSALT000042
hsa:3782,D00816
hsa:3782,DB00472
hsa:3782,D01242
hsa:3782,D02163
hsa:3782,DB00661
hsa:3782,D03274
hsa:3782,D04034
hsa:3783,DB01223
hsa:3783,DB01119
hsa:3783,DB01026
hsa:3783,DB01159
hsa:3783,D01453
hsa:3783,D01712
hsa:3783,DB00661
hsa:3783,D02409
hsa:3783,D03450
hsa:3784,DB01119
hsa:3784,DB00808
hsa:3784,D00831
hsa:3784,DB00661
hsa:3784,D03037
hsa:3785,DB01119
hsa:3785,DB00661
hsa:3786,DB01119
hsa:3786,DB00661
hsa:3787,DB01119
hsa:3787,DB00661
hsa:3788,DB01119
hsa:3788,DB00661
hsa:3790,DB01119
hsa:3790,DB00661
hsa:40,DBSALT000270
hsa:41,DBSALT000270
hsa:5023,DB00201
hsa:5024,DB00201
hsa:5025,DB00201
hsa:5026,DB00201
hsa:5027,DB00201
hsa:50801,DB01119
hsa:50801,DB00661
hsa:51305,DB01119
hsa:51305,DB00661
hsa:51802,DB00564
hsa:51802,DB00280
hsa:51802,DB00996
hsa:51802,DB00252
hsa:51802,DB00909
hsa:51802,DB01086
hsa:51802,DBSALT000270
hsa:51802,DB00740
hsa:51802,DB00661
hsa:5310,DB00996
hsa:5310,DB01115
hsa:5310,DB00252
hsa:5310,DB01159
hsa:5310,DB01100
hsa:5310,DB00401
hsa:5310,DB01054
hsa:5310,DBSALT000270
hsa:5310,DB00568
hsa:5310,DB00661
hsa:54207,DB01119
hsa:54207,D00642
hsa:54207,D02272
hsa:54207,DB00661
hsa:55503,DB00996
hsa:55503,DB01115
hsa:55503,DB00252
hsa:55503,DB01159
hsa:55503,DB01100
hsa:55503,DB00401
hsa:55503,DB01054
hsa:55503,DB00568
hsa:55503,DB00661
hsa:55515,DB00564
hsa:55515,DB00280
hsa:55515,DB00996
hsa:55515,DB00252
hsa:55515,DB00909
hsa:55515,DB01086
hsa:55515,DBSALT000270
hsa:55515,DB00740
hsa:55515,DB00661
hsa:55584,D00195
hsa:55584,DB00312
hsa:55584,DB00411
hsa:55584,D00611
hsa:55584,DB01233
hsa:55584,D02101
hsa:55584,D02173
hsa:55584,D02204
hsa:55584,D02207
hsa:55584,DB00184
hsa:55584,DB00318
hsa:55584,D03826
hsa:55584,D05156
hsa:55584,D05453
hsa:55799,DB00996
hsa:55799,DB01115
hsa:55799,DB00252
hsa:55799,DB01159
hsa:55799,DB01100
hsa:55799,DB00401
hsa:55799,DB01054
hsa:55799,DB00568
hsa:55799,DB00661
hsa:55800,DB00564
hsa:55800,DB00280
hsa:55800,DB00996
hsa:55800,DB00252
hsa:55800,DB00909
hsa:55800,DB01086
hsa:55800,DB00740
hsa:55800,DB00661
hsa:55879,DB00404
hsa:55879,DB00829
hsa:55879,DB00690
hsa:55879,DB00312
hsa:55879,DB00962
hsa:55879,DB00753
hsa:55879,DB01236
hsa:55879,DB00292
hsa:55879,DB00818
hsa:55879,DB00683
hsa:56479,DB01119
hsa:56479,DB00661
hsa:56659,DB01119
hsa:56659,DB01159
hsa:56659,DB00661
hsa:56660,DB01159
hsa:57053,D00195
hsa:57053,DB00312
hsa:57053,DB00411
hsa:57053,D00611
hsa:57053,DB01233
hsa:57053,D02101
hsa:57053,D02173
hsa:57053,D02204
hsa:57053,D02207
hsa:57053,DB00184
hsa:57053,DB00318
hsa:57053,D03826
hsa:57053,D05156
hsa:57053,D05453
hsa:57192,DBSALT000270
hsa:57657,DB01119
hsa:57657,DB00661
hsa:59284,DB00996
hsa:59284,DB01115
hsa:59284,DB00252
hsa:59284,DB01159
hsa:59284,DB01100
hsa:59284,DB00401
hsa:59284,DB01054
hsa:59284,DB00568
hsa:59284,DB00661
hsa:60598,DB01119
hsa:60598,DB00661
hsa:6261,DB01223
hsa:6261,DB00996
hsa:6261,DB01115
hsa:6261,DB00252
hsa:6261,DB00201
hsa:6261,DB01100
hsa:6261,DB00401
hsa:6261,DB01054
hsa:6261,D00740
hsa:6261,D01275
hsa:6261,DB00568
hsa:6261,D01350
hsa:6261,D01453
hsa:6261,D01712
hsa:6261,DB01219
hsa:6261,DB00661
hsa:6261,D02409
hsa:6262,DB01223
hsa:6262,DB00996
hsa:6262,DB01115
hsa:6262,DB00252
hsa:6262,DB00201
hsa:6262,DB01100
hsa:6262,DB00401
hsa:6262,DB01054
hsa:6262,D00740
hsa:6262,D01275
hsa:6262,DB00568
hsa:6262,D01350
hsa:6262,D01453
hsa:6262,D01712
hsa:6262,DB00661
hsa:6262,D02409
hsa:6263,DB01223
hsa:6263,DB00996
hsa:6263,DB01115
hsa:6263,DB00252
hsa:6263,DB00201
hsa:6263,DB01100
hsa:6263,DB00401
hsa:6263,DB01054
hsa:6263,D00740
hsa:6263,D01275
hsa:6263,DB00568
hsa:6263,D01350
hsa:6263,D01453
hsa:6263,D01712
hsa:6263,DB00661
hsa:6263,D02409
hsa:6323,DB00555
hsa:6323,DB00281
hsa:6323,DBSALT000724
hsa:6323,DB01121
hsa:6323,DB00273
hsa:6323,DB00909
hsa:6323,D00638
hsa:6323,D00639
hsa:6323,DBSALT000148
hsa:6323,D00642
hsa:6323,DB01202
hsa:6323,DBSALT000823
hsa:6323,D00735
hsa:6323,D00738
hsa:6323,D00739
hsa:6323,D00740
hsa:6323,D00741
hsa:6323,D01243
hsa:6323,DBSALT000834
hsa:6323,D01450
hsa:6323,DBSALT001508
hsa:6323,D02087
hsa:6323,D02088
hsa:6323,D02098
hsa:6323,D02272
hsa:6323,DBSALT002712
hsa:6323,DBSALT000902
hsa:6324,DB00564
hsa:6324,DB00280
hsa:6324,DB00996
hsa:6324,DB00252
hsa:6324,DB00909
hsa:6324,DB01086
hsa:6324,DB00740
hsa:6324,DB00661
hsa:6326,DB00555
hsa:6326,DB00281
hsa:6326,DBSALT000724
hsa:6326,D00638
hsa:6326,D00639
hsa:6326,DBSALT000148
hsa:6326,D00642
hsa:6326,DBSALT000823
hsa:6326,D00735
hsa:6326,D00738
hsa:6326,D00739
hsa:6326,D00740
hsa:6326,D00741
hsa:6326,D01243
hsa:6326,DBSALT000834
hsa:6326,D01450
hsa:6326,DBSALT001508
hsa:6326,D02087
hsa:6326,D02088
hsa:6326,D02098
hsa:6326,D02272
hsa:6326,DBSALT002712
hsa:6326,DBSALT000902
hsa:6328,DB00564
hsa:6328,DB00280
hsa:6328,DB00996
hsa:6328,DB00555
hsa:6328,DB00281
hsa:6328,DBSALT000724
hsa:6328,DB00252
hsa:6328,DB00909
hsa:6328,DB01086
hsa:6328,D00638
hsa:6328,D00639
hsa:6328,DBSALT000148
hsa:6328,D00642
hsa:6328,DBSALT000823
hsa:6328,D00735
hsa:6328,D00738
hsa:6328,D00739
hsa:6328,D00740
hsa:6328,D00741
hsa:6328,DB00740
hsa:6328,D01243
hsa:6328,DBSALT000834
hsa:6328,D01450
hsa:6328,DBSALT001508
hsa:6328,D02087
hsa:6328,D02088
hsa:6328,D02098
hsa:6328,D02272
hsa:6328,DB00661
hsa:6328,DBSALT002712
hsa:6328,DBSALT000902
hsa:6329,DB00564
hsa:6329,DB00280
hsa:6329,DB00996
hsa:6329,DB00555
hsa:6329,DB00281
hsa:6329,DBSALT000724
hsa:6329,DB00252
hsa:6329,DB00909
hsa:6329,DB01086
hsa:6329,D00638
hsa:6329,D00639
hsa:6329,DBSALT000148
hsa:6329,D00642
hsa:6329,DBSALT000823
hsa:6329,D00735
hsa:6329,D00738
hsa:6329,D00739
hsa:6329,D00740
hsa:6329,D00741
hsa:6329,DB00740
hsa:6329,D01243
hsa:6329,DBSALT000834
hsa:6329,D01450
hsa:6329,DBSALT001508
hsa:6329,D02087
hsa:6329,D02088
hsa:6329,D02098
hsa:6329,D02272
hsa:6329,DB00661
hsa:6329,DBSALT002712
hsa:6329,DBSALT000902
hsa:6330,DB00564
hsa:6330,DB00280
hsa:6330,DB00996
hsa:6330,DB00252
hsa:6330,DB00909
hsa:6330,DB01086
hsa:6330,DB00740
hsa:6330,DB00661
hsa:6331,DB00907
hsa:6331,DB00564
hsa:6331,DB00280
hsa:6331,DB00996
hsa:6331,DB00555
hsa:6331,DB00281
hsa:6331,DBSALT000724
hsa:6331,DB00252
hsa:6331,DB00776
hsa:6331,DB00750
hsa:6331,D00638
hsa:6331,D00639
hsa:6331,DBSALT000148
hsa:6331,D00642
hsa:6331,DB00754
hsa:6331,DBSALT000823
hsa:6331,DB00527
hsa:6331,D00735
hsa:6331,D00738
hsa:6331,D00739
hsa:6331,D00740
hsa:6331,D00741
hsa:6331,DB00740
hsa:6331,D01243
hsa:6331,DBSALT000834
hsa:6331,D01450
hsa:6331,DBSALT001508
hsa:6331,D02087
hsa:6331,D02088
hsa:6331,D02098
hsa:6331,D02272
hsa:6331,DB00661
hsa:6331,DBSALT002712
hsa:6331,DBSALT000902
hsa:6331,DB00680
hsa:6331,DB01056
hsa:6332,DB00564
hsa:6332,DB00280
hsa:6332,DB00996
hsa:6332,DB00252
hsa:6332,DB00909
hsa:6332,DB01086
hsa:6332,DB00740
hsa:6332,DB00661
hsa:6334,DB00555
hsa:6334,DB00281
hsa:6334,DBSALT000724
hsa:6334,D00638
hsa:6334,D00639
hsa:6334,DBSALT000148
hsa:6334,D00642
hsa:6334,DBSALT000823
hsa:6334,D00735
hsa:6334,D00738
hsa:6334,D00739
hsa:6334,D00740
hsa:6334,D00741
hsa:6334,D01243
hsa:6334,DBSALT000834
hsa:6334,D01450
hsa:6334,DBSALT001508
hsa:6334,D02087
hsa:6334,D02088
hsa:6334,D02098
hsa:6334,D02272
hsa:6334,DBSALT002712
hsa:6334,DBSALT000902
hsa:6335,DB00555
hsa:6335,DB00281
hsa:6335,DBSALT000724
hsa:6335,D00638
hsa:6335,D00639
hsa:6335,DBSALT000148
hsa:6335,D00642
hsa:6335,DBSALT000823
hsa:6335,D00735
hsa:6335,D00738
hsa:6335,D00739
hsa:6335,D00740
hsa:6335,D00741
hsa:6335,D01243
hsa:6335,DBSALT000834
hsa:6335,D01450
hsa:6335,DBSALT001508
hsa:6335,D02087
hsa:6335,D02088
hsa:6335,D02098
hsa:6335,D02272
hsa:6335,DBSALT002712
hsa:6335,DBSALT000902
hsa:6336,DB00907
hsa:6336,DB00564
hsa:6336,DB00280
hsa:6336,DB00996
hsa:6336,DB00281
hsa:6336,DB00252
hsa:6336,DB00909
hsa:6336,DB01086
hsa:6336,DBSALT000823
hsa:6336,DB00527
hsa:6336,D00735
hsa:6336,D00738
hsa:6336,D00739
hsa:6336,D00740
hsa:6336,D00741
hsa:6336,DB00740
hsa:6336,D01243
hsa:6336,DBSALT000834
hsa:6336,D01450
hsa:6336,D01768
hsa:6336,DBSALT001508
hsa:6336,D02098
hsa:6336,DB00661
hsa:6336,DBSALT000902
hsa:6337,DB00564
hsa:6337,DB00280
hsa:6337,DB00996
hsa:6337,DB00252
hsa:6337,DB00909
hsa:6337,DB01086
hsa:6337,DBSALT000270
hsa:6337,DB00740
hsa:6337,DB00661
hsa:6338,DB00564
hsa:6338,DB00280
hsa:6338,DB00996
hsa:6338,DB00252
hsa:6338,DB00909
hsa:6338,DB01086
hsa:6338,DBSALT000270
hsa:6338,DB00740
hsa:6338,DB00661
hsa:6339,DB00564
hsa:6339,DB00280
hsa:6339,DB00996
hsa:6339,DB00252
hsa:6339,DB00909
hsa:6339,DB01086
hsa:6339,DBSALT000270
hsa:6339,DB00740
hsa:6339,DB00661
hsa:6340,DB00564
hsa:6340,DB00280
hsa:6340,DB00996
hsa:6340,DB00252
hsa:6340,DB00909
hsa:6340,DB01086
hsa:6340,DBSALT000270
hsa:6340,DB00740
hsa:6340,DB00661
hsa:6529,DB00907
hsa:6530,DB00907
hsa:6530,DB00543
hsa:6530,DB00579
hsa:6530,DB00726
hsa:6530,DBSALT000889
hsa:6530,DB00217
hsa:6530,DB01170
hsa:6530,DB00934
hsa:6530,DB00422
hsa:6530,DB00191
hsa:6531,DB00907
hsa:6531,DB00579
hsa:6531,DB00422
hsa:6531,DB00191
hsa:6532,DB00907
hsa:6532,DB00543
hsa:6532,DB00726
hsa:6532,DB01104
hsa:6532,DB00715
hsa:6532,DB00514
hsa:6534,DB00172
hsa:6833,DB01119
hsa:6833,DB01016
hsa:6833,DB01124
hsa:6833,DB01025
hsa:7225,DBSALT000270
hsa:773,DB01023
hsa:773,DB00996
hsa:773,DB01115
hsa:773,DB00252
hsa:773,DB01159
hsa:773,DB01100
hsa:773,D00615
hsa:773,D00617
hsa:773,DB00401
hsa:773,DB01054
hsa:773,DB00568
hsa:773,DB00661
hsa:773,D02914
hsa:773,D05024
hsa:774,DB00996
hsa:774,DB01115
hsa:774,DB00252
hsa:774,DB01159
hsa:774,DB01100
hsa:774,DB00401
hsa:774,DB01054
hsa:774,DB00568
hsa:774,DB00661
hsa:775,DB01023
hsa:775,DB00996
