DrugID,CUI,name,AvgFrequency
DB00014,C0011849,Diabetes_mellitus,0.0064
DB00014,C0011991,Diarrhea,0.1121
DB00014,C0012833,Dizziness,0.0364
DB00014,C0013390,Dysmenorrhea,0.0567
DB00014,C0013395,Dyspepsia,0.01
DB00014,C0013404,Dyspnea,0.0191
DB00014,C0013428,Dysuria,0.0096
DB00014,C0013604,Edema,0.042
DB00014,C0014591,Epistaxis,0.01
DB00014,C0015230,Exanthema,0.05
DB00014,C0015672,Fatigue,0.035
DB00014,C0016204,Flatulence,0.01
DB00014,C0018099,Gout,0.01
DB00014,C0018418,Gynecomastia,0.0577
DB00014,C0018500,Hair_diseases,0.075
DB00014,C0018681,Headache,0.277
DB00014,C0018801,Heart_failure,0.0096
DB00014,C0018802,Congestive_heart_failure,0.03
DB00014,C0018926,Hematemesis,0.0064
DB00014,C0018965,Hematuria,0.0506
DB00014,C0019080,Hemorrhage,0.01
DB00014,C0019348,Herpes_simplex_infections,0.0096
DB00014,C0019572,Hirsutism,0.11
DB00014,C0020458,Hyperhidrosis_disorder,0.1714
DB00014,C0020517,Hypersensitivity,0.01
DB00014,C0020538,Hypertensive_disease,0.042
DB00014,C0021177,Increased_libido,0.155
DB00014,C0021400,Influenza,0.0209
DB00014,C0022408,Arthropathy,0.01
DB00014,C0023218,Cramps_of_lower_extremities,0.04
DB00014,C0023380,Lethargy,0.0475
DB00014,C0024117,Chronic_obstructive_airway_disease,0.04
DB00014,C0024902,Mastodynia,0.0451
DB00014,C0025323,Menorrhagia,0.045
DB00014,C0026826,Muscle_hypertonia,0.055
DB00014,C0027497,Nausea,0.0775
DB00014,C0027769,Nervousness,0.0367
DB00014,C0028734,Nocturia,0.1
DB00014,C0029408,Degenerative_polyarthritis,0.01
DB00014,C0030193,Pain,0.1483
DB00014,C0030554,Paresthesia,0.0161
DB00014,C0030794,Pelvic_pain,0.0974
DB00014,C0031350,Pharyngitis,0.055
DB00014,C0032285,Pneumonia,0.0064
DB00014,C0033246,Proctitis,0.08
DB00014,C0033774,Pruritus,0.0232
DB00014,C0034065,Pulmonary_embolism,0.0042
DB00014,C0036508,Seborrheic_dermatitis,0.39
DB00014,C0037199,Sinusitis,0.0333
DB00014,C0037763,Spasm,0.04
DB00014,C0038454,Cerebrovascular_accident,0.0042
DB00014,C0038990,Sweating,0.1714
DB00014,C0039231,Tachycardia,0.01
DB00014,C0041582,Ulcer,0.01
DB00014,C0041912,Upper_respiratory_infections,0.045
DB00014,C0041969,Urethral_diseases,0.0223
DB00014,C0042023,Increased_frequency_of_micturition,0.0442
DB00014,C0042024,Urinary_incontinence,0.0064
DB00014,C0042029,Urinary_tract_infection,0.031
DB00014,C0042075,Urologic_diseases,0.0223
DB00014,C0042134,Uterine_hemorrhage,0.05
DB00014,C0042267,Vaginitis,0.3125
DB00014,C0042345,Varicosity,0.0064
DB00014,C0042963,Vomiting,0.03
DB00014,C0042998,Vulvovaginitis,0.03
DB00014,C0043094,Weight_gain,0.09
DB00014,C0043352,Xerostomia,0.01
DB00014,C0080274,Urinary_retention,0.0064
DB00014,C0085096,Peripheral_vascular_diseases,0.01
DB00014,C0085129,Bronchial_hyperreactivity,0.04
DB00014,C0085593,Chills,0.01
DB00014,C0085633,Mood_swings,0.3867
DB00014,C0085649,Peripheral_edema,0.1519
DB00014,C0149931,Migraine_disorders,0.04
DB00014,C0151505,Application_site_reaction,0.06
DB00014,C0151511,Atrophy_of_breast,0.375
DB00014,C0151825,Bone_pain,0.0585
DB00014,C0151885,Reaction_aggravation,0.0159
DB00014,C0231218,Malaise,0.035
DB00014,C0231365,Alteration_in_patterns_of_urinary_elimination,0.0096
DB00014,C0231528,Myalgia,0.07
DB00014,C0232461,Increased_appetite_(finding),0.035
DB00014,C0232462,Decrease_in_appetite,0.035
DB00014,C0232849,Bladder_pain,0.16
DB00014,C0233472,Labile_affect,0.3867
DB00014,C0233494,Tension,0.0367
DB00014,C0234215,Sensory_discomfort,0.035
DB00014,C0236075,Menopausal_symptom,0.6312
DB00014,C0242350,Erectile_dysfunction,0.3128
DB00014,C0243026,Sepsis,0.0127
DB00014,C0267596,Rectal_hemorrhage,0.2
DB00014,C0403632,Non-infectious_cystitis,0.16
DB00014,C0404521,Infective_vaginitis,0.3125
DB00014,C0518015,Hemoglobin_measurement,0.01
DB00014,C0549622,Sexual_dysfunction,0.18
DB00014,C0559546,Adverse_reactions,0.0159
DB00014,C0574067,Increasing_frequency_of_cough,0.0127
DB00014,C0574785,Lower_urinary_tract_symptoms,0.105
DB00014,C0600142,Hot_flushes,0.6312
DB00014,C0687713,Gastrointestinal_pain,0.0585
DB00014,C0702166,Acne,0.3233
DB00014,C0853891,Tumor_flare,0.135
DB00014,C0855242,Disturbance_in_sexual_arousal,0.34
DB00014,C0917798,Cerebral_ischemia,0.0064
DB00014,C0917801,Sleeplessness,0.074
DB00014,C0948594,Musculoskeletal_discomfort,0.05
DB00014,C1384606,Dyspareunia,0.095
DB00014,C1443060,Feeling_abnormal,0.035
DB00014,C2047937,Ill-defined_disease,0.035
DB00014,C2225524,Macromastia,0.165
DB00035,C0000737,Abdominal_pain,0.0194
DB00035,C0001807,Aggressive_behavior,0.001
DB00035,C0003467,Anxiety,0.0005
DB00035,C0004093,Asthenia,0.0067
DB00035,C0009763,Conjunctivitis,0.0067
DB00035,C0009806,Constipation,0.01
DB00035,C0011570,Mental_depression,0.02
DB00035,C0011603,Dermatitis,0.02
DB00035,C0011991,Diarrhea,0.0107
DB00035,C0012833,Dizziness,0.01
DB00035,C0014591,Epistaxis,0.015
DB00035,C0015230,Exanthema,0.02
DB00035,C0015967,Fever,0.15
DB00035,C0017160,Gastroenteritis,0.07
DB00035,C0017178,Gastrointestinal_diseases,0.0067
DB00035,C0018681,Headache,0.1098
DB00035,C0020538,Hypertensive_disease,0.02
DB00035,C0020625,Hyponatremia,0.024
DB00035,C0027424,Nasal_congestion_(finding),0.27
DB00035,C0027497,Nausea,0.0273
DB00035,C0030193,Pain,0.0067
DB00035,C0035243,Respiratory_tract_infections,0.02
DB00035,C0035455,Rhinitis,0.052
DB00035,C0041912,Upper_respiratory_infections,0.09
DB00035,C0042401,Vasodilation,0.02
DB00035,C0042963,Vomiting,0.006
DB00035,C0085593,Chills,0.0067
DB00035,C0085633,Mood_swings,0.0005
DB00035,C0233472,Labile_affect,0.0008
DB00035,C0242429,Sore_throat,0.02
DB00035,C0687713,Gastrointestinal_pain,0.0194
DB00035,C0743680,Eye_oedema,0.0067
DB00035,C0857236,Rash_both_legs,0.02
DB00035,C0858259,Nasal_discomfort,0.01
DB00035,C0917801,Sleeplessness,0.0096
DB00035,C1142412,Vasodilation_procedure,0.02
DB00035,C2363730,Oropharyngeal_discomfort,0.02
DB00035,C2363731,Oropharyngeal_pain,0.02
DB00035,C2830004,Somnolence,0.004
DB00046,C0000737,Abdominal_pain,0.0778
DB00046,C0004093,Asthenia,0.0778
DB00046,C0006277,Bronchitis,0.0719
DB00046,C0009450,Communicable_diseases,0.1307
DB00046,C0010200,Coughing,0.1736
DB00046,C0011991,Diarrhea,0.0721
DB00046,C0013390,Dysmenorrhea,0.0658
DB00046,C0015967,Fever,0.0893
DB00046,C0018681,Headache,0.1768
DB00046,C0021400,Influenza,0.2036
DB00046,C0027497,Nausea,0.1069
DB00046,C0028778,Obstruction,0.001
DB00046,C0030193,Pain,0.142
DB00046,C0031350,Pharyngitis,0.2045
DB00046,C0035455,Rhinitis,0.1714
DB00046,C0042029,Urinary_tract_infection,0.054
DB00046,C0151736,Accidental_injury,0.1015
DB00046,C0231528,Myalgia,0.066
DB00046,C0574067,Increasing_frequency_of_cough,0.1736
DB00046,C0687713,Gastrointestinal_pain,0.0778
DB00046,C0948594,Musculoskeletal_discomfort,0.066
DB00046,C3263723,Traumatic_injury,0.1015
DB00047,C0003862,Arthralgia,0.1515
DB00047,C0004604,Back_pain,0.0762
DB00047,C0006277,Bronchitis,0.1465
DB00047,C0006826,Malignant_neoplasms,0.0578
DB00047,C0009450,Communicable_diseases,0.1148
DB00047,C0010200,Coughing,0.0975
DB00047,C0011570,Mental_depression,0.101
DB00047,C0011991,Diarrhea,0.105
DB00047,C0017160,Gastroenteritis,0.0341
DB00047,C0018681,Headache,0.0647
DB00047,C0020538,Hypertensive_disease,0.1925
DB00047,C0020615,Hypoglycemia,0.2052
DB00047,C0021400,Influenza,0.191
DB00047,C0030196,Pain_in_limb,0.1305
DB00047,C0031117,Peripheral_neuropathy,0.0252
DB00047,C0031350,Pharyngitis,0.0805
DB00047,C0035455,Rhinitis,0.0418
DB00047,C0037199,Sinusitis,0.1078
DB00047,C0041912,Upper_respiratory_infections,0.1985
DB00047,C0042029,Urinary_tract_infection,0.0618
DB00047,C0085649,Peripheral_edema,0.1162
DB00047,C0086543,Cataract,0.17
DB00047,C0151698,Injection_site_hemorrhage,0.0438
DB00047,C0151736,Accidental_injury,0.0558
DB00047,C0151828,Injection_site_pain,0.0167
DB00047,C0154833,Retinal_vascular_disorder,0.0541
DB00047,C0271710,Reactive_hypoglycemia,0.0299
DB00047,C0442874,Neuropathy,0.0252
DB00047,C0948594,Musculoskeletal_discomfort,0.1515
DB00047,C3263723,Traumatic_injury,0.0558
DB00049,C0000737,Abdominal_pain,0.128
DB00049,C0003467,Anxiety,0.112
DB00049,C0009806,Constipation,0.2
DB00049,C0011603,Dermatitis,0.0865
DB00049,C0011991,Diarrhea,0.1284
DB00049,C0015230,Exanthema,0.0865
DB00049,C0015967,Fever,0.2383
DB00049,C0018681,Headache,0.1502
DB00049,C0020433,Hyperbilirubinemia,0.0678
DB00049,C0020517,Hypersensitivity,0.0313
DB00049,C0027497,Nausea,0.2221
DB00049,C0042963,Vomiting,0.2428
DB00049,C0085649,Peripheral_edema,0.21
DB00049,C0085681,Hyperphosphatemia_(disorder),0.0492
DB00049,C0085682,Hypophosphatemia,0.1026
DB00049,C0151905,Alanine_aminotransferase_increased,0.0766
DB00049,C0243026,Sepsis,0.0707
DB00049,C0333355,Inflammatory_disease_of_mucous_membrane,0.15
DB00049,C0546817,Fluid_overload,0.041
DB00049,C0549373,Larynx_pain,0.0628
DB00049,C0687713,Gastrointestinal_pain,0.128
DB00049,C0858635,Pharyngolaryngeal_pain,0.0628
DB00050,C0018681,Headache,0.0259
DB00050,C0027497,Nausea,0.011
DB00050,C0029928,Ovarian_diseases,0.049
DB00050,C0853813,Local_reaction,0.01
DB00063,C0000737,Abdominal_pain,0.0095
DB00063,C0004238,Atrial_fibrillation,0.01
DB00063,C0004245,Atrioventricular_block,0.014
DB00063,C0008031,Chest_pain,0.0147
DB00063,C0009450,Communicable_diseases,0.001
DB00063,C0013395,Dyspepsia,0.0015
DB00063,C0013404,Dyspnea,0.001
DB00063,C0014591,Epistaxis,0.001
DB00063,C0015967,Fever,0.013
DB00063,C0017181,Gastrointestinal_hemorrhage,0.0043
DB00063,C0018681,Headache,0.032
DB00063,C0018790,Cardiac_arrest,0.0142
DB00063,C0018801,Heart_failure,0.0024
DB00063,C0018802,Congestive_heart_failure,0.053
DB00063,C0018926,Hematemesis,0.0027
DB00063,C0018944,Hematoma,0.0053
DB00063,C0018965,Hematuria,0.0056
DB00063,C0019080,Hemorrhage,0.0558
DB00063,C0020517,Hypersensitivity,0.0014
DB00063,C0020538,Hypertensive_disease,0.001
DB00063,C0020649,Hypotension,0.01
DB00063,C0027051,Myocardial_infarction,0.0029
DB00063,C0027497,Nausea,0.01
DB00063,C0030193,Pain,0.012
DB00063,C0031039,Pericardial_effusion,0.0019
DB00063,C0031542,Phlebitis,0.0145
DB00063,C0032285,Pneumonia,0.0015
DB00063,C0036974,Shock,0.0255
DB00063,C0038454,Cerebrovascular_accident,0.0014
DB00063,C0040034,Thrombocytopenia,0.0008
DB00063,C0040046,Thrombophlebitis,0.001
DB00063,C0042510,Ventricular_fibrillation,0.0135
DB00063,C0042514,"Tachycardia,_ventricular",0.01
DB00063,C0043251,Wounds_and_injuries,0.0001
DB00063,C0151489,Arterial_malformation,0.0048
DB00063,C0151699,Intracranial_hemorrhage,0.0014
DB00063,C0151705,Retroperitoneal_hemorrhage,0.0039
DB00063,C0151814,Coronary_occlusion,0.0024
DB00063,C0265935,Congenital_anomaly_of_artery,0.0048
DB00063,C0518015,Hemoglobin_measurement,0.0558
DB00063,C0687713,Gastrointestinal_pain,0.0095
DB00063,C0917798,Cerebral_ischemia,0.0045
DB00063,C0948089,Acute_coronary_syndrome,0.0029
DB00063,C1956346,Coronary_artery_disease,0.001
DB00063,C3263723,Traumatic_injury,0.0001
DB00094,C0000729,Abdominal_cramps,0.14
DB00094,C0000731,Abdomen_distended,0.0272
DB00094,C0000737,Abdominal_pain,0.0518
DB00094,C0000786,Spontaneous_abortion,0.0698
DB00094,C0004093,Asthenia,0.0226
DB00094,C0004604,Back_pain,0.035
DB00094,C0006145,Breast_diseases,0.005
DB00094,C0007859,Neck_pain,0.0135
DB00094,C0007867,Cervix_diseases,0.0152
DB00094,C0009806,Constipation,0.0142
DB00094,C0010200,Coughing,0.0224
DB00094,C0010692,Cystitis,0.0241
DB00094,C0010709,Cyst,0.0548
DB00094,C0011175,Dehydration,0.0135
DB00094,C0011570,Mental_depression,0.0135
DB00094,C0011603,Dermatitis,0.02
DB00094,C0011606,Exfoliative_dermatitis,0.0135
DB00094,C0011649,Dermoid_cyst,0.0333
DB00094,C0011991,Diarrhea,0.0263
DB00094,C0012833,Dizziness,0.0175
DB00094,C0013390,Dysmenorrhea,0.043
DB00094,C0013395,Dyspepsia,0.0254
DB00094,C0015230,Exanthema,0.02
DB00094,C0015672,Fatigue,0.0226
DB00094,C0015929,Fetal_diseases,0.042
DB00094,C0015967,Fever,0.0235
DB00094,C0016204,Flatulence,0.0456
DB00094,C0018418,Gynecomastia,0.0217
DB00094,C0018681,Headache,0.1088
DB00094,C0020538,Hypertensive_disease,0.0135
DB00094,C0023533,Leukorrhea,0.0255
DB00094,C0024902,Mastodynia,0.0544
DB00094,C0025345,Menstruation_disturbances,0.017
DB00094,C0025874,Metrorrhagia,0.0438
DB00094,C0026821,Muscle_cramp,0.0667
DB00094,C0026946,Mycoses,0.02
DB00094,C0027497,Nausea,0.0406
DB00094,C0027765,Nervous_system_disorder,0.005
DB00094,C0029927,Ovarian_cysts,0.0869
DB00094,C0029928,Ovarian_diseases,0.0345
DB00094,C0030193,Pain,0.0431
DB00094,C0030794,Pelvic_pain,0.0328
DB00094,C0031350,Pharyngitis,0.0441
DB00094,C0032987,Ectopic_pregnancy,0.0233
DB00094,C0035455,Rhinitis,0.0354
DB00094,C0037199,Sinusitis,0.0461
DB00094,C0037274,Dermatologic_disorders,0.005
DB00094,C0037763,Spasm,0.024
DB00094,C0038367,Ulcerative_stomatitis,0.0241
DB00094,C0040460,Toothache,0.0361
DB00094,C0041912,Upper_respiratory_infections,0.0628
DB00094,C0042023,Increased_frequency_of_micturition,0.0241
DB00094,C0042029,Urinary_tract_infection,0.0202
DB00094,C0042134,Uterine_hemorrhage,0.0241
DB00094,C0042341,Varicocele,0.01
DB00094,C0042769,Virus_diseases,0.0241
DB00094,C0042963,Vomiting,0.0147
DB00094,C0043094,Weight_gain,0.0186
DB00094,C0085083,Ovarian_hyperstimulation_syndrome,0.0437
DB00094,C0085633,Mood_swings,0.0248
DB00094,C0149745,Oral_ulcer,0.0241
DB00094,C0149931,Migraine_disorders,0.0361
DB00094,C0151698,Injection_site_hemorrhage,0.097
DB00094,C0151734,Injection_site_inflammation,0.0331
DB00094,C0151735,Injection_site_reaction,0.0498
DB00094,C0151736,Accidental_injury,0.0135
DB00094,C0151828,Injection_site_pain,0.0271
DB00094,C0178298,Skin_and_subcutaneous_tissue_disorders,0.005
DB00094,C0227791,Vaginal_discharge,0.0174
DB00094,C0231218,Malaise,0.0241
DB00094,C0232487,Abdominal_discomfort,0.0135
DB00094,C0232495,Lower_abdominal_pain,0.0217
DB00094,C0232849,Bladder_pain,0.0241
DB00094,C0233472,Labile_affect,0.0248
DB00094,C0234215,Sensory_discomfort,0.0241
DB00094,C0234936,Application_site_edema,0.0253
DB00094,C0235318,Fullness_abdominal,0.0667
DB00094,C0235656,Lesion_of_cervix,0.017
DB00094,C0236075,Menopausal_symptom,0.0242
DB00094,C0239725,Genital_pain,0.0241
DB00094,C0262397,Breast_tenderness,0.01
DB00094,C0343863,Candida_infection_of_genital_region,0.017
DB00094,C0392025,Enlargement_abdomen,0.0649
DB00094,C0392171,Influenza-like_symptoms,0.034
DB00094,C0403632,Non-infectious_cystitis,0.0241
DB00094,C0521508,Injection_site_bruising,0.097
DB00094,C0521839,Influenza-like_illness,0.034
DB00094,C0549383,Ovarian_hyperstimulation,0.0554
DB00094,C0553713,Breast_pain_female,0.0544
DB00094,C0600142,Hot_flushes,0.0242
DB00094,C0687713,Gastrointestinal_pain,0.0497
DB00094,C0702166,Acne,0.0299
DB00094,C0728993,Spotting_vaginal,0.0267
DB00094,C0850758,Pelvic_pain_female,0.044
DB00094,C0877363,Gynecological-related_pain,0.0241
DB00094,C1443060,Feeling_abnormal,0.0241
DB00094,C1535975,Pelvic_discomfort,0.0826
DB00094,C2047937,Ill-defined_disease,0.0241
DB00094,C2979982,Vaginal_hemorrhage,0.0294
DB00094,C3263723,Traumatic_injury,0.0135
DB00104,C0000731,Abdomen_distended,0.0561
DB00104,C0000737,Abdominal_pain,0.1
DB00104,C0002170,Alopecia,0.02
DB00104,C0003123,Anorexia,0.01
DB00104,C0003467,Anxiety,0.005
DB00104,C0003862,Arthralgia,0.0282
DB00104,C0003864,Arthritis,0.013
DB00104,C0004093,Asthenia,0.0406
DB00104,C0004604,Back_pain,0.0245
DB00104,C0008325,Cholecystitis,0.01
DB00104,C0008350,Cholelithiasis,0.07
DB00104,C0009806,Constipation,0.0605
DB00104,C0009938,Contusions,0.0249
DB00104,C0011175,Dehydration,0.001
DB00104,C0011603,Dermatitis,0.01
DB00104,C0011991,Diarrhea,0.2559
DB00104,C0012833,Dizziness,0.0879
DB00104,C0013395,Dyspepsia,0.01
DB00104,C0013404,Dyspnea,0.01
DB00104,C0013604,Edema,0.01
DB00104,C0014724,Eructation,0.009
DB00104,C0015230,Exanthema,0.01
DB00104,C0015672,Fatigue,0.056
DB00104,C0016204,Flatulence,0.0785
DB00104,C0016382,Flushing,0.005
DB00104,C0017181,Gastrointestinal_hemorrhage,0.005
DB00104,C0018681,Headache,0.1317
DB00104,C0018944,Hematoma,0.0741
DB00104,C0019112,Hemorrhoids,0.009
DB00104,C0020433,Hyperbilirubinemia,0.01
DB00104,C0020456,Hyperglycemia,0.125
DB00104,C0020615,Hypoglycemia,0.01
DB00104,C0020676,Hypothyroidism,0.01
DB00104,C0021400,Influenza,0.0474
DB00104,C0023218,Cramps_of_lower_extremities,0.0351
DB00104,C0027441,Nasopharyngitis,0.0474
DB00104,C0027497,Nausea,0.1959
DB00104,C0029408,Degenerative_polyarthritis,0.009
DB00104,C0030193,Pain,0.1
DB00104,C0033774,Pruritus,0.0245
DB00104,C0034882,Rectal_diseases,0.005
DB00104,C0037199,Sinusitis,0.0175
DB00104,C0037763,Spasm,0.0117
DB00104,C0038238,Steatorrhea,0.023
DB00104,C0039231,Tachycardia,0.001
DB00104,C0040128,Thyroid_diseases,0.01
DB00104,C0042023,Increased_frequency_of_micturition,0.022
DB00104,C0042029,Urinary_tract_infection,0.0371
DB00104,C0042963,Vomiting,0.0317
DB00104,C0043352,Xerostomia,0.005
DB00104,C0151828,Injection_site_pain,0.089
